X(I=31),Y(J=21),PSI
44,32,96.72998253501873
46,32,97.11641253090147
48,32,97.43111216762414
50,32,97.68209794016532
52,32,97.87571739688558
54,32,98.01684192489502
56,32,98.10900932927352
58,32,98.1545246444792
60,32,98.1545246444792
0,34,0.0
2,34,7.212035024554487
4,34,15.16104795467455
6,34,24.606482398354064
8,34,36.11562403855504
10,34,49.13217907044479
12,34,60.1437393815668
14,34,68.54909361947549
16,34,74.81627187506479
18,34,79.53083196681504
20,34,83.14930417066321
22,34,85.98722634497359
24,34,88.25617610259613
26,34,90.09880387045496
28,34,91.61335951359271
30,34,92.86941363448554
32,34,93.91768088811817
34,34,94.79616049251732
36,34,95.53402361797187
38,34,96.15412144219181
40,34,96.67463973039216
42,34,97.1102167996181
44,34,97.4727174612794
46,34,97.77178141256702
48,34,98.01521992055108
50,34,98.20930744890481
52,34,98.35899807975132
54,34,98.46808604815158
56,34,98.5393229780979
58,34,98.5745000072693
60,34,98.5745000072693
0,36,0.0
2,36,5.79021877329841
4,36,12.592440117653226
6,36,21.783112714476474
8,36,35.340844301220905
10,36,54.51239803630388
12,36,67.70112745893691
14,36,76.1112476180886
16,36,81.6228389762478
18,36,85.42448716791213
20,36,88.18165015682791
22,36,90.26613542453713
24,36,91.89324748008181
26,36,93.19381682972548
28,36,94.25143492456164
30,36,95.12211758745471
32,36,95.84505470456567
34,36,96.44871536884804
36,36,96.95444819044957
38,36,97.37868178359858
40,36,97.73431583249463
42,36,98.03162893241685
44,36,98.27888908398873
46,36,98.48277572337707
48,36,98.6486786387523
50,36,98.78091384063544
52,36,98.88288141042388
54,36,98.95718119513609
56,36,99.00569651292082
58,36,99.02965238443988
60,36,99.02965238443988
0,38,0.0
2,38,3.3563999501038633
4,38,7.635381026763195
6,38,14.592684038769534
8,38,28.952242413143576
10,38,65.87544131172415
12,38,80.03712479642893
14,38,86.57193041387839
16,38,90.13934923966879
18,38,92.36262756707589
20,38,93.88667385910917
22,38,95.00241771078473
24,38,95.85686155761584
26,38,96.53178103759768
28,38,97.07644576093423
30,38,97.52256707935301
32,38,97.89170496669584
34,38,98.19919808044169
36,38,98.45637198371129
38,38,98.6718416613609
40,38,98.85231287546652
42,38,99.0030940052766
44,38,99.12843421042965
46,38,99.23175374960798
48,38,99.31580506173553
50,38,99.38278785565522
52,38,99.43443251729386
54,38,99.47206080011831
56,38,99.49662948505063
58,38,99.50876062416349
60,38,99.50876062416349
0,40,0.0
2,40,0.0
4,40,0.0
6,40,0.0
8,40,0.0
10,40,100.0
12,40,100.0
14,40,100.0
16,40,100.0
18,40,100.0
20,40,100.0
22,40,100.0
24,40,100.0
26,40,100.0
28,40,100.0
30,40,100.0
32,40,100.0
34,40,100.0
36,40,100.0
38,40,100.0
40,40,100.0
42,40,100.0
44,40,100.0
46,40,100.0
48,40,100.0
50,40,100.0
52,40,100.0
54,40,100.0
56,40,100.0
58,40,100.0
60,40,100.0
