Iteration,Error_psi,Error_omega
437,1.2133381989764175e-05,0.005271284409708812
438,1.21246764190732e-05,0.005255483782874374
439,1.2115994406722439e-05,0.005239765892339443
440,1.2107335833928569e-05,0.005224130118966753
441,1.2098700582777602e-05,0.005208575849642054
442,1.2090088536216156e-05,0.005193102477201975
443,1.2081499578043532e-05,0.005177709400363205
444,1.20729335929033e-05,0.0051623960236521224
445,1.2064390466275597e-05,0.005147161757336572
446,1.205587008446882e-05,0.005132006017356682
447,1.204737233461223e-05,0.0051169282252583916
448,1.20388971046477e-05,0.005101927808127409
449,1.2030444283322522e-05,0.005087004198523283
450,1.2022013760181392e-05,0.005072156834416063
451,1.2013605425559378e-05,0.0050573851591217975
452,1.200521917057408e-05,0.005042688621240567
453,1.1996854887118839e-05,0.005028066674594993
454,1.1988512467854918e-05,0.005013518778168672
455,1.1980191806204761e-05,0.004999044396047059
456,1.1971892796344813e-05,0.004984642997357683
457,1.1963615333198522e-05,0.004970314056211494
458,1.1955359312429651e-05,0.004956057051646496
459,1.1947124630434858e-05,0.0049418714675701515
460,1.1938911184337812e-05,0.004927756792703207
461,1.193071887198179e-05,0.0049137125205248
462,1.1922547591923298e-05,0.004899738149218173
463,1.1914397243425938e-05,0.004885833181616611
464,1.190626772645342e-05,0.004871997125150483
465,1.1898158941663449e-05,0.0048582294917955595
466,1.1890070790401367e-05,0.00484452979801989
467,1.1882003174694037e-05,0.004830897564734686
468,1.1873955997243467e-05,0.004817332317243459
469,1.1865929161420975e-05,0.004803833585191537
470,1.1857922571260913e-05,0.004790400902519058
471,1.1849936131454982e-05,0.0047770338074110425
472,1.184196974734604e-05,0.004763731842250693
473,1.1834023324922482e-05,0.004750494553572256
474,1.1826096770812465e-05,0.004737321492015148
475,1.1818189992278028e-05,0.004724212212276982
476,1.1810302897209836e-05,0.004711166273069975
477,1.180243539412118e-05,0.0046981832370756905
478,1.179458739214278e-05,0.004685262670901049
479,1.1786758801016973e-05,0.004672404145034819
480,1.1778949531092869e-05,0.004659607233805763
481,1.1771159493320579e-05,0.004646871515339498
482,1.1763388599245897e-05,0.004634196571517206
483,1.1755636761005574e-05,0.004621581987934289
484,1.1747903891321437e-05,0.004609027353860234
485,1.1740189903496107e-05,0.0045965322621981325
486,1.1732494711407196e-05,0.004584096309444776
487,1.1724818229502672e-05,0.004571719095652767
488,1.1717160372796065e-05,0.00455940022439104
489,1.1709521056861157e-05,0.0045471393027072555
490,1.1701900197827508e-05,0.004534935941089512
491,1.1694297712375477e-05,0.004522789753430525
492,1.1686713517731535e-05,0.004510700356990015
493,1.1679147531663697e-05,0.004498667372359204
494,1.1671599672476515e-05,0.004486690423424685
495,1.1664069859007092e-05,0.004474769137333152
496,1.1656558010619934e-05,0.004462903144457484
497,1.1649064047202891e-05,0.004451092078361055
498,1.1641587889162426e-05,0.004439335575765321
499,1.1634129457419398e-05,0.004427633276515234
500,1.1626688673404641e-05,0.004415984823546499
501,1.1619265459054712e-05,0.004404389862853393
502,1.1611859736807599e-05,0.00439284804345579
503,1.1604471429598446e-05,0.004381359017367992
504,1.1597100460855396e-05,0.00436992243956691
505,1.1589746754495547e-05,0.004358537967961367
506,1.1582410234920932e-05,0.004347205263360951
507,1.1575090827014053e-05,0.004335923989446042
508,1.1567788456134506e-05,0.004324693812738405
509,1.1560503048114508e-05,0.004313514402570512
